game_id,season,week,game_type,team,opponent,team_score,opp_score,win,tie,giveaways,off_third_down_pct,takeaways,opp_third_down_pct,turnover_margin
2023_06_ARI_LA,2023,6,REG,LA,ARI,26.0,9.0,1,0,0.0,0.3333333333333333,3.0,0.375,3.0
2023_06_PHI_NYJ,2023,6,REG,NYJ,PHI,20.0,14.0,1,0,0.0,0.18181818181818182,4.0,0.5,4.0
2023_06_DET_TB,2023,6,REG,TB,DET,6.0,20.0,0,0,1.0,0.16666666666666666,0.0,0.5625,-1.0
2023_06_NYG_BUF,2023,6,REG,BUF,NYG,14.0,9.0,1,0,2.0,0.5,0.0,0.5263157894736842,-2.0
2023_06_DAL_LAC,2023,6,REG,LAC,DAL,17.0,20.0,0,0,2.0,0.35714285714285715,0.0,0.38461538461538464,-2.0
2023_07_JAX_NO,2023,7,REG,NO,JAX,24.0,31.0,0,0,2.0,0.16666666666666666,1.0,0.18181818181818182,-1.0
2023_07_DET_BAL,2023,7,REG,BAL,DET,38.0,6.0,1,0,1.0,0.5,1.0,0.3125,0.0
2023_07_LV_CHI,2023,7,REG,CHI,LV,30.0,12.0,1,0,0.0,0.6153846153846154,3.0,0.2222222222222222,3.0
2023_07_CLE_IND,2023,7,REG,IND,CLE,38.0,39.0,0,0,4.0,0.4666666666666667,2.0,0.25,-2.0
2023_07_BUF_NE,2023,7,REG,NE,BUF,29.0,25.0,1,0,1.0,0.4444444444444444,2.0,0.4166666666666667,1.0
2023_07_WAS_NYG,2023,7,REG,NYG,WAS,14.0,7.0,1,0,1.0,0.3125,2.0,0.06666666666666667,1.0
2023_07_ATL_TB,2023,7,REG,TB,ATL,13.0,16.0,0,0,2.0,0.5,3.0,0.5384615384615384,1.0
2023_07_PIT_LA,2023,7,REG,LA,PIT,17.0,24.0,0,0,1.0,0.5625,0.0,0.3333333333333333,-1.0
2023_07_ARI_SEA,2023,7,REG,SEA,ARI,20.0,10.0,1,0,2.0,0.5384615384615384,1.0,0.3333333333333333,-1.0
2023_07_GB_DEN,2023,7,REG,DEN,GB,19.0,17.0,1,0,0.0,0.4166666666666667,1.0,0.42857142857142855,1.0
2023_07_LAC_KC,2023,7,REG,KC,LAC,31.0,17.0,1,0,2.0,0.5454545454545454,2.0,0.42857142857142855,0.0
2023_07_MIA_PHI,2023,7,REG,PHI,MIA,31.0,17.0,1,0,2.0,0.3333333333333333,1.0,0.36363636363636365,-1.0
2023_07_SF_MIN,2023,7,REG,MIN,SF,22.0,17.0,1,0,1.0,0.6153846153846154,3.0,0.5555555555555556,2.0
2023_08_TB_BUF,2023,8,REG,BUF,TB,24.0,18.0,1,0,1.0,0.5384615384615384,0.0,0.26666666666666666,-1.0
2023_08_HOU_CAR,2023,8,REG,CAR,HOU,15.0,13.0,1,0,0.0,0.35714285714285715,1.0,0.4166666666666667,1.0
2023_08_LA_DAL,2023,8,REG,DAL,LA,43.0,20.0,1,0,1.0,0.5,1.0,0.3076923076923077,0.0
2023_08_MIN_GB,2023,8,REG,GB,MIN,10.0,24.0,0,0,1.0,0.35714285714285715,1.0,0.5555555555555556,0.0
2023_08_NO_IND,2023,8,REG,IND,NO,27.0,38.0,0,0,1.0,0.4375,1.0,0.5,0.0
2023_08_NE_MIA,2023,8,REG,MIA,NE,31.0,17.0,1,0,2.0,0.35714285714285715,1.0,0.1111111111111111,-1.0
2023_08_NYJ_NYG,2023,8,REG,NYG,NYJ,10.0,13.0,0,0,0.0,0.10526315789473684,2.0,0.13333333333333333,2.0
2023_08_JAX_PIT,2023,8,REG,PIT,JAX,10.0,20.0,0,0,2.0,0.25,3.0,0.46153846153846156,1.0
2023_08_ATL_TEN,2023,8,REG,TEN,ATL,28.0,23.0,1,0,1.0,0.3333333333333333,1.0,0.26666666666666666,0.0
2023_08_PHI_WAS,2023,8,REG,WAS,PHI,31.0,38.0,0,0,1.0,0.5833333333333334,2.0,0.6153846153846154,1.0
2023_08_CLE_SEA,2023,8,REG,SEA,CLE,24.0,20.0,1,0,2.0,0.3333333333333333,3.0,0.4,1.0
2023_08_BAL_ARI,2023,8,REG,ARI,BAL,24.0,31.0,0,0,2.0,0.4166666666666667,0.0,0.36363636363636365,-2.0
2023_08_KC_DEN,2023,8,REG,DEN,KC,24.0,9.0,1,0,2.0,0.42857142857142855,4.0,0.3,2.0
2023_08_CIN_SF,2023,8,REG,SF,CIN,17.0,31.0,0,0,3.0,0.5555555555555556,1.0,0.375,-2.0
2023_08_CHI_LAC,2023,8,REG,LAC,CHI,30.0,13.0,1,0,1.0,0.5384615384615384,2.0,0.42857142857142855,1.0
